node_id	parent_id	mutations
ROOT	ROOT	
1	ROOT	mut2,mut4,mut6,mut8,mut12,mut13,mut14,mut16,mut22,mut23,mut25,mut29,mut34,mut35,mut36,mut37,mut39,mut43,mut45,mut48,mut49,mut50,mut51,mut52,mut57,mut58,mut80,mut84,mut87,mut90,mut92,mut94,mut96,mut98,mut101,mut102,mut104,mut106,mut107,mut112,mut114,mut116,mut118,mut119,mut121,mut122,mut124,mut125,mut126,mut128,mut129,mut131,mut133,mut136,mut138,mut142,mut145,mut150,mut163,mut166,mut171,mut172,mut174,mut176,mut182,mut183,mut185,mut187,mut188,mut189,mut191,mut193,mut195,mut196,mut199,mut207,mut211,mut228,mut235,mut236,mut238,mut239,mut241,mut248,mut252,mut259,mut261,mut263,mut264,mut265,mut266,mut268,mut269,mut270,mut271,mut272,mut273,mut274,mut275,mut276,mut277,mut278,mut280,mut283,mut288,mut289,mut290,mut292,mut293,mut295,mut296,mut297,mut298,mut299,mut303,mut304,mut306,mut307,mut310,mut311,mut316,mut318,mut321,mut334,mut341,mut343,mut345,mut346,mut350,mut353,mut354,mut356,mut360,mut362,mut364,mut365,mut366,mut368,mut370,mut375,mut376,mut378,mut383,mut385,mut386,mut387,mut389,mut390,mut395,mut405,mut406,mut407,mut409,mut414,mut416,mut423,mut425,mut426,mut428,mut438,mut439,mut440,mut442,mut443,mut445,mut446,mut447,mut453,mut456,mut457,mut458,mut459,mut461,mut463,mut467,mut470,mut472,mut473,mut474,mut476,mut478,mut484,mut485,mut486,mut493,mut496,mut501,mut502,mut503,mut504
2	ROOT	mut0,mut1,mut3,mut7,mut9,mut10,mut11,mut17,mut19,mut20,mut24,mut26,mut27,mut30,mut32,mut33,mut38,mut46,mut47,mut56,mut60,mut61,mut63,mut65,mut67,mut68,mut70,mut71,mut72,mut75,mut76,mut77,mut78,mut79,mut81,mut82,mut85,mut88,mut91,mut93,mut99,mut100,mut109,mut111,mut115,mut117,mut120,mut127,mut130,mut132,mut137,mut141,mut143,mut144,mut147,mut148,mut152,mut155,mut159,mut160,mut167,mut169,mut179,mut181,mut190,mut192,mut194,mut197,mut198,mut200,mut201,mut202,mut204,mut205,mut206,mut208,mut209,mut213,mut214,mut215,mut219,mut220,mut221,mut222,mut223,mut226,mut229,mut230,mut232,mut243,mut246,mut249,mut250,mut251,mut254,mut255,mut256,mut258,mut267,mut284,mut285,mut291,mut300,mut301,mut312,mut314,mut320,mut324,mut326,mut329,mut330,mut331,mut332,mut336,mut337,mut344,mut347,mut351,mut352,mut357,mut358,mut363,mut367,mut369,mut374,mut380,mut384,mut388,mut392,mut397,mut399,mut401,mut402,mut410,mut411,mut413,mut415,mut417,mut418,mut419,mut420,mut421,mut424,mut429,mut431,mut432,mut433,mut434,mut444,mut450,mut451,mut455,mut460,mut462,mut465,mut466,mut468,mut469,mut471,mut475,mut482,mut483,mut487,mut488,mut489,mut494,mut495,mut500
3	1	mut41,mut53,mut55,mut83,mut86,mut95,mut97,mut105,mut110,mut156,mut158,mut168,mut170,mut173,mut175,mut178,mut186,mut203,mut210,mut216,mut217,mut218,mut225,mut237,mut240,mut302,mut308,mut309,mut313,mut317,mut322,mut342,mut348,mut361,mut382,mut396,mut400,mut427,mut441,mut454,mut479,mut481,mut490
5	ROOT	mut28,mut31,mut44,mut73,mut139,mut140,mut146,mut151,mut154,mut165,mut245,mut253,mut260,mut262,mut281,mut282,mut305,mut381,mut391,mut393,mut394,mut404,mut412,mut435,mut436,mut437,mut498
6	ROOT	mut21,mut59,mut62,mut64,mut89,mut113,mut149,mut180,mut224,mut227,mut233,mut242,mut323,mut333,mut339,mut340,mut349,mut398,mut422,mut449,mut464
7	2	mut15,mut66,mut123,mut134,mut162,mut164,mut184,mut212,mut231,mut279,mut327,mut372,mut403,mut480,mut491,mut492,mut497,mut499
8	ROOT	mut40,mut54,mut69,mut74,mut108,mut244,mut247,mut287,mut325,mut335,mut338,mut379,mut408,mut430
9	ROOT	mut5,mut161,mut234,mut257,mut315,mut319,mut328,mut359,mut373,mut377,mut477
10	2	mut42,mut103,mut153,mut177,mut355,mut371,mut448
11	ROOT	mut18,mut135,mut157,mut286,mut294,mut452
