node_id	parent_id	mutations
ROOT	ROOT	
1	ROOT	mut4,mut5,mut7,mut16,mut17,mut25,mut29,mut36,mut38,mut41,mut42,mut44,mut45,mut46,mut48,mut52,mut54,mut55,mut57,mut60,mut62,mut66,mut70,mut71,mut74,mut78,mut79,mut84,mut85,mut86,mut91,mut92,mut94,mut95,mut98,mut99,mut119,mut124,mut126,mut130,mut137,mut139,mut140,mut145,mut146,mut147,mut148,mut149,mut150,mut156,mut158,mut160,mut161,mut165,mut167,mut175,mut180,mut181,mut183,mut184,mut186,mut187,mut189,mut195,mut196,mut201,mut203,mut206,mut209,mut221,mut222,mut225,mut227,mut228,mut229,mut240,mut246,mut247,mut248,mut250,mut254,mut260,mut272,mut276,mut277,mut281,mut284,mut285,mut286,mut287,mut289,mut292,mut295,mut297,mut304,mut308,mut312,mut314,mut316,mut317,mut320,mut321,mut323,mut331,mut333,mut335,mut346,mut347,mut353,mut354,mut356,mut358,mut362,mut367,mut368,mut370,mut373,mut376,mut380,mut381,mut382,mut384,mut388,mut389,mut392,mut393,mut394,mut395,mut397,mut399,mut401,mut402,mut408,mut410,mut412,mut414,mut417,mut419,mut422,mut425,mut428,mut436,mut442,mut444,mut447,mut456,mut458,mut463,mut464,mut467,mut469,mut473,mut485,mut486,mut489,mut491,mut492,mut493,mut495,mut499,mut503,mut507
2	1	mut3,mut10,mut11,mut13,mut15,mut23,mut35,mut37,mut47,mut64,mut76,mut82,mut97,mut105,mut107,mut109,mut117,mut125,mut129,mut138,mut151,mut157,mut168,mut172,mut197,mut241,mut252,mut253,mut257,mut275,mut280,mut302,mut305,mut306,mut310,mut325,mut326,mut329,mut332,mut336,mut340,mut364,mut369,mut379,mut415,mut429,mut432,mut434,mut446,mut448,mut466,mut475,mut476,mut478,mut479,mut480,mut488,mut496,mut497
3	1	mut0,mut2,mut8,mut20,mut33,mut75,mut87,mut88,mut100,mut101,mut110,mut121,mut174,mut176,mut177,mut178,mut188,mut192,mut208,mut213,mut214,mut216,mut220,mut226,mut234,mut237,mut244,mut255,mut282,mut299,mut301,mut315,mut319,mut324,mut327,mut338,mut342,mut361,mut363,mut371,mut391,mut403,mut404,mut409,mut426,mut438,mut441,mut454,mut468,mut470,mut482
4	ROOT	mut14,mut40,mut51,mut93,mut103,mut106,mut190,mut198,mut199,mut212,mut223,mut238,mut259,mut261,mut269,mut270,mut279,mut296,mut337,mut344,mut359,mut377,mut411,mut418,mut437,mut439,mut455,mut462,mut477,mut490,mut508
8	ROOT	mut39,mut69,mut127,mut144,mut152,mut154,mut170,mut173,mut194,mut202,mut210,mut215,mut230,mut264,mut265,mut267,mut288,mut298,mut318,mut343,mut360,mut375,mut396,mut465,mut500
10	1	mut59,mut89,mut90,mut96,mut104,mut123,mut128,mut131,mut133,mut143,mut231,mut266,mut300,mut309,mut351,mut416,mut435,mut440,mut451,mut452,mut457,mut498
5	10	mut49,mut58,mut67,mut80,mut108,mut112,mut113,mut116,mut118,mut120,mut185,mut207,mut236,mut273,mut339,mut355,mut366,mut372,mut374,mut378,mut406,mut424,mut427,mut443,mut445,mut460,mut474,mut481,mut494,mut501
12	1	mut1,mut24,mut27,mut32,mut102,mut155,mut262,mut313,mut322,mut387,mut472,mut506
9	12	mut18,mut22,mut34,mut65,mut68,mut73,mut77,mut162,mut200,mut239,mut249,mut283,mut293,mut330,mut341,mut350,mut352,mut365,mut385,mut398,mut405,mut450,mut453,mut487
11	9	mut61,mut122,mut163,mut232,mut235,mut242,mut256,mut258,mut334,mut449,mut461,mut484,mut505
7	12	mut9,mut12,mut114,mut142,mut159,mut164,mut169,mut171,mut179,mut191,mut205,mut219,mut233,mut251,mut268,mut291,mut294,mut303,mut307,mut311,mut328,mut407,mut459,mut502,mut504
13	1	mut26,mut28,mut31,mut43,mut50,mut53,mut83,mut111,mut224,mut263
6	13	mut30,mut56,mut63,mut72,mut81,mut115,mut141,mut166,mut193,mut204,mut211,mut218,mut243,mut245,mut271,mut274,mut278,mut290,mut345,mut357,mut383,mut386,mut390,mut413,mut420,mut430,mut483
14	1	mut19,mut136,mut182,mut348,mut349,mut400,mut423,mut433,mut471
15	ROOT	mut6,mut21,mut132,mut134,mut135,mut153,mut217,mut421,mut431
