node_id	parent_id	mutations
ROOT	None	
1	ROOT	mut1,mut6,mut8,mut10,mut12,mut13,mut18,mut20,mut22,mut23,mut25,mut27,mut28,mut37,mut39,mut40,mut41,mut42,mut45,mut46,mut47,mut49,mut51,mut52,mut55,mut56,mut58,mut61,mut62,mut64,mut66,mut68,mut70,mut75,mut76,mut77,mut78,mut79,mut83,mut84,mut90,mut92,mut93,mut95,mut97,mut98,mut103,mut104,mut106,mut107,mut110,mut111,mut112,mut113,mut117,mut120,mut122,mut127,mut128,mut129,mut130,mut135,mut139,mut141,mut143,mut144,mut145,mut149,mut152,mut153,mut156,mut157,mut158,mut159,mut161,mut162,mut163,mut164,mut165,mut166,mut169,mut171,mut178,mut180,mut181,mut183,mut184,mut186,mut188,mut189,mut191,mut192,mut193,mut201,mut203,mut205,mut207,mut212,mut213,mut216,mut217,mut218,mut219,mut220,mut221,mut222,mut223,mut225,mut226,mut227,mut228,mut231,mut232,mut233,mut234,mut238,mut239,mut244,mut245,mut250,mut251,mut252,mut253,mut255,mut256,mut257,mut259,mut260,mut261,mut262,mut263,mut264,mut266,mut270,mut275,mut277,mut278,mut279,mut280,mut283,mut284,mut288,mut289,mut290,mut292,mut293,mut295,mut296,mut299,mut302,mut305,mut306,mut312,mut314,mut315,mut316,mut318,mut320,mut321,mut322,mut325,mut330,mut332,mut334,mut335,mut337,mut338,mut339,mut344,mut347,mut351,mut353,mut354,mut355,mut356,mut358,mut359,mut360,mut362,mut363,mut364,mut367,mut370,mut372,mut376,mut377,mut378,mut380,mut382,mut383,mut384,mut385,mut386,mut387,mut389,mut390,mut391,mut393,mut398,mut401,mut402,mut403,mut405,mut406,mut408,mut409,mut410,mut411,mut413,mut416,mut418,mut419,mut421,mut422,mut423,mut425,mut427,mut428,mut429,mut430,mut431,mut432,mut433,mut434,mut438,mut440,mut441,mut442,mut444,mut446,mut447,mut448,mut449,mut450,mut455,mut456,mut458,mut459,mut460,mut461,mut462,mut464,mut465,mut466,mut469,mut470,mut472,mut473,mut477,mut478,mut481,mut482,mut485,mut489,mut491,mut493,mut495,mut497,mut499,mut502,mut504,mut505,mut508,mut509,mut512,mut514,mut515,mut516,mut517,mut518,mut521,mut522,mut524,mut525,mut526,mut529,mut531,mut532,mut533,mut535,mut536,mut537,mut538,mut539,mut543,mut546,mut550,mut551,mut556,mut557,mut558,mut560,mut561,mut563,mut564,mut565,mut567,mut568,mut572,mut577,mut579,mut580,mut581,mut582,mut583,mut584,mut586,mut588,mut590,mut592,mut593,mut596,mut598,mut602,mut603,mut606,mut607,mut608,mut609,mut611,mut612,mut614,mut615,mut619,mut622,mut623,mut624,mut626,mut627,mut630,mut632,mut633,mut637,mut640,mut642,mut644,mut647,mut648,mut649,mut650,mut651,mut653,mut654,mut655,mut658,mut659,mut661,mut662,mut664,mut667
4	1	mut0,mut2,mut3,mut4,mut5,mut7,mut9,mut14,mut15,mut16,mut21,mut24,mut30,mut31,mut60,mut85,mut108,mut114,mut116,mut150,mut167,mut185,mut204,mut214,mut249,mut267,mut273,mut285,mut309,mut313,mut342,mut352,mut395,mut397,mut415,mut454,mut463,mut486,mut498,mut549,mut554,mut574
6	4	mut33,mut50,mut74,mut96,mut121,mut136,mut137,mut229,mut298,mut307,mut350,mut392,mut412,mut471,mut475,mut540,mut542,mut548,mut555,mut616,mut620,mut625,mut638,mut639,mut646,mut663,mut665
10	4	mut44,mut89,mut91,mut131,mut142,mut177,mut242,mut265,mut333,mut400,mut404,mut445,mut476,mut552
9	10	mut71,mut72,mut100,mut115,mut123,mut134,mut172,mut195,mut243,mut258,mut282,mut297,mut343,mut492,mut534,mut541,mut573,mut617
12	4	mut82,mut125,mut198,mut224,mut235,mut559,mut585,mut604,mut605,mut657,mut660
13	12	mut26,mut32,mut54,mut168,mut194,mut209,mut215,mut336,mut371,mut601
21	4	mut102,mut126,mut155,mut286,mut589
15	21	mut148,mut176,mut206,mut310,mut326,mut366,mut388,mut480,mut553
22	10	mut173,mut174,mut417,mut506,mut645
16	22	mut43,mut119,mut287,mut301,mut365,mut399,mut507
2	22	mut17,mut19,mut29,mut53,mut59,mut65,mut67,mut86,mut109,mut132,mut154,mut160,mut179,mut196,mut210,mut248,mut271,mut274,mut276,mut291,mut294,mut303,mut319,mut323,mut328,mut329,mut340,mut341,mut345,mut357,mut361,mut369,mut373,mut374,mut379,mut414,mut420,mut426,mut439,mut443,mut453,mut484,mut487,mut500,mut501,mut510,mut519,mut520,mut523,mut527,mut530,mut544,mut547,mut576,mut610,mut613,mut618,mut621,mut634,mut666
5	4	mut35,mut36,mut80,mut87,mut101,mut105,mut118,mut197,mut211,mut237,mut247,mut300,mut327,mut331,mut396,mut407,mut424,mut437,mut451,mut457,mut467,mut479,mut483,mut490,mut494,mut511,mut569,mut570,mut595,mut597,mut599,mut643
7	4	mut38,mut57,mut63,mut69,mut88,mut124,mut133,mut140,mut147,mut200,mut230,mut236,mut246,mut269,mut324,mut375,mut381,mut496,mut513,mut528,mut545,mut566,mut587,mut591,mut628,mut631
8	16	mut73,mut81,mut99,mut138,mut190,mut240,mut268,mut281,mut308,mut317,mut346,mut348,mut349,mut368,mut435,mut474,mut503,mut575,mut636,mut641,mut670
11	9	mut34,mut94,mut146,mut151,mut170,mut199,mut272,mut394,mut468,mut562,mut600,mut656
14	15	mut48,mut187,mut208,mut241,mut304,mut311,mut436,mut635,mut652,mut669
19	6	mut11,mut175,mut202,mut452,mut571,mut668
20	13	mut182,mut254,mut488,mut578,mut594,mut629
