node_id	parent_id	labels
5	ROOT	mut35,mut37,mut59,mut128,mut136,mut178,mut179,mut192,mut216,mut220,mut252,mut255,mut258,mut270,mut280,mut315,mut362,mut369,mut401,mut402,mut411,mut412,mut455,mut464,mut469,mut474,mut477,mut518,mut544,mut545,mut555,mut560,mut594,mut602,mut604,mut611,mut612,mut620,mut629,mut644,mut648,mut661,mut706,mut742,mut758,mut780,mut788,mut820,mut863,mut874,mut897,mut900,mut949,mut955,mut956,mut975,mut978,mut994,mut1033,mut1037,mut1040,mut1070,mut1135,mut1151,mut1154,mut1159,mut1164,mut1196,mut1199,mut1209,mut1215,mut1240,mut1241,mut1243,mut1245,mut1246,mut1255,mut1258,mut1279,mut1296,mut1304,mut1321,mut1326,mut1328,mut1329,mut1339,mut1346,mut1359,mut1374,mut1383,mut1397,mut1428,mut1433,mut1461,mut1465,mut1485,mut1486,mut1488,mut1490,mut1491,mut1493,mut1503,mut1524,mut1570,mut1575,mut1590,mut1599,mut1604,mut1606,mut1624,mut1635,mut1660,mut1765,mut1770,mut1771,mut1792,mut1802,mut1819,mut1842,mut1892,mut1960,mut1967,mut1972,mut1979,mut2016,mut2070,mut2093,mut2144,mut2145
6	5	mut2,mut36,mut44,mut49,mut71,mut77,mut101,mut105,mut108,mut139,mut163,mut165,mut212,mut232,mut248,mut251,mut259,mut266,mut292,mut302,mut329,mut337,mut373,mut379,mut414,mut431,mut435,mut446,mut447,mut448,mut454,mut485,mut490,mut517,mut551,mut585,mut605,mut614,mut619,mut639,mut683,mut722,mut724,mut733,mut737,mut768,mut778,mut809,mut810,mut816,mut827,mut868,mut869,mut884,mut901,mut902,mut913,mut971,mut976,mut988,mut1005,mut1006,mut1014,mut1072,mut1086,mut1108,mut1136,mut1137,mut1180,mut1182,mut1193,mut1200,mut1204,mut1233,mut1276,mut1281,mut1288,mut1306,mut1308,mut1320,mut1373,mut1394,mut1412,mut1414,mut1426,mut1466,mut1514,mut1516,mut1561,mut1574,mut1578,mut1615,mut1629,mut1656,mut1676,mut1696,mut1700,mut1707,mut1708,mut1745,mut1778,mut1791,mut1811,mut1814,mut1828,mut1833,mut1871,mut1891,mut1898,mut1922,mut1950,mut1953,mut1958,mut1982,mut1986,mut2006,mut2007,mut2015,mut2036,mut2057,mut2071,mut2078,mut2103,mut2136,mut2150,mut2152,mut2153
2	5	mut1,mut10,mut15,mut18,mut23,mut29,mut38,mut55,mut56,mut57,mut61,mut65,mut81,mut88,mut94,mut98,mut100,mut102,mut112,mut115,mut117,mut126,mut131,mut134,mut141,mut142,mut143,mut147,mut149,mut164,mut176,mut191,mut195,mut200,mut204,mut218,mut224,mut235,mut242,mut244,mut245,mut247,mut257,mut268,mut273,mut283,mut288,mut290,mut291,mut295,mut299,mut316,mut326,mut342,mut343,mut345,mut350,mut352,mut355,mut364,mut368,mut390,mut407,mut421,mut422,mut427,mut432,mut440,mut445,mut450,mut452,mut458,mut461,mut472,mut475,mut480,mut482,mut483,mut496,mut497,mut498,mut507,mut516,mut520,mut528,mut530,mut543,mut548,mut557,mut559,mut561,mut565,mut570,mut572,mut578,mut581,mut590,mut592,mut595,mut598,mut601,mut610,mut624,mut631,mut634,mut643,mut652,mut659,mut664,mut676,mut681,mut708,mut709,mut712,mut715,mut719,mut725,mut729,mut740,mut749,mut762,mut764,mut765,mut770,mut772,mut775,mut776,mut784,mut785,mut786,mut787,mut800,mut804,mut807,mut812,mut819,mut821,mut828,mut838,mut839,mut841,mut842,mut843,mut860,mut861,mut873,mut875,mut879,mut886,mut895,mut896,mut898,mut908,mut928,mut935,mut936,mut940,mut943,mut948,mut950,mut959,mut961,mut963,mut969,mut972,mut981,mut987,mut996,mut1009,mut1024,mut1029,mut1031,mut1044,mut1058,mut1059,mut1068,mut1069,mut1080,mut1085,mut1099,mut1101,mut1104,mut1118,mut1123,mut1124,mut1126,mut1131,mut1134,mut1142,mut1153,mut1156,mut1157,mut1160,mut1167,mut1176,mut1191,mut1192,mut1201,mut1210,mut1216,mut1220,mut1224,mut1231,mut1232,mut1249,mut1265,mut1270,mut1277,mut1278,mut1283,mut1297,mut1309,mut1311,mut1317,mut1327,mut1330,mut1337,mut1338,mut1341,mut1343,mut1348,mut1351,mut1352,mut1364,mut1368,mut1370,mut1371,mut1380,mut1382,mut1385,mut1399,mut1429,mut1431,mut1454,mut1467,mut1470,mut1471,mut1487,mut1489,mut1492,mut1500,mut1505,mut1510,mut1511,mut1515,mut1517,mut1518,mut1519,mut1520,mut1522,mut1535,mut1536,mut1543,mut1556,mut1560,mut1569,mut1572,mut1583,mut1596,mut1598,mut1602,mut1605,mut1612,mut1613,mut1625,mut1636,mut1642,mut1643,mut1645,mut1646,mut1647,mut1653,mut1657,mut1658,mut1667,mut1668,mut1669,mut1670,mut1674,mut1677,mut1680,mut1682,mut1687,mut1689,mut1690,mut1695,mut1713,mut1717,mut1728,mut1729,mut1731,mut1774,mut1794,mut1806,mut1818,mut1820,mut1824,mut1827,mut1829,mut1843,mut1849,mut1851,mut1855,mut1859,mut1860,mut1865,mut1872,mut1880,mut1884,mut1895,mut1899,mut1900,mut1902,mut1906,mut1912,mut1927,mut1930,mut1937,mut1944,mut1976,mut1980,mut1988,mut1991,mut2000,mut2012,mut2014,mut2017,mut2019,mut2030,mut2031,mut2032,mut2046,mut2048,mut2049,mut2050,mut2062,mut2066,mut2068,mut2072,mut2073,mut2081,mut2084,mut2089,mut2104,mut2108,mut2110,mut2117,mut2128,mut2134,mut2137
13	ROOT	mut25,mut42,mut50,mut78,mut83,mut267,mut276,mut300,mut393,mut399,mut400,mut404,mut505,mut627,mut693,mut723,mut774,mut796,mut890,mut903,mut966,mut977,mut1022,mut1039,mut1092,mut1114,mut1149,mut1158,mut1222,mut1363,mut1390,mut1392,mut1440,mut1441,mut1554,mut1580,mut1584,mut1619,mut1634,mut1726,mut1727,mut1763,mut1766,mut1857,mut1901,mut1908,mut1924,mut1969,mut2035,mut2039,mut2123,mut2125,mut2147
1	13	mut4,mut5,mut9,mut21,mut24,mut27,mut28,mut30,mut31,mut32,mut33,mut41,mut43,mut48,mut54,mut63,mut68,mut69,mut75,mut76,mut79,mut85,mut86,mut89,mut97,mut109,mut110,mut111,mut113,mut114,mut118,mut121,mut122,mut129,mut130,mut133,mut138,mut140,mut144,mut148,mut153,mut158,mut159,mut168,mut172,mut174,mut185,mut186,mut188,mut189,mut193,mut199,mut201,mut202,mut203,mut205,mut206,mut207,mut208,mut211,mut214,mut215,mut221,mut222,mut223,mut226,mut231,mut234,mut236,mut237,mut238,mut239,mut241,mut249,mut250,mut260,mut271,mut272,mut274,mut275,mut278,mut282,mut285,mut293,mut294,mut298,mut301,mut311,mut317,mut331,mut334,mut338,mut340,mut347,mut358,mut363,mut366,mut367,mut372,mut376,mut377,mut378,mut380,mut382,mut384,mut385,mut386,mut388,mut389,mut391,mut394,mut398,mut405,mut413,mut416,mut419,mut420,mut424,mut436,mut437,mut438,mut439,mut453,mut456,mut459,mut462,mut471,mut493,mut501,mut503,mut506,mut509,mut510,mut514,mut522,mut527,mut529,mut536,mut549,mut550,mut554,mut558,mut568,mut569,mut573,mut574,mut575,mut586,mut589,mut607,mut608,mut613,mut616,mut618,mut625,mut633,mut642,mut649,mut654,mut656,mut662,mut666,mut668,mut673,mut679,mut680,mut682,mut687,mut688,mut691,mut692,mut694,mut697,mut700,mut704,mut713,mut714,mut717,mut720,mut726,mut727,mut731,mut734,mut736,mut744,mut747,mut748,mut753,mut779,mut789,mut790,mut791,mut792,mut802,mut811,mut815,mut817,mut829,mut830,mut831,mut832,mut833,mut836,mut837,mut844,mut845,mut846,mut852,mut854,mut857,mut859,mut862,mut865,mut866,mut867,mut871,mut876,mut877,mut889,mut892,mut899,mut905,mut906,mut907,mut916,mut918,mut931,mut934,mut938,mut946,mut951,mut957,mut985,mut991,mut992,mut995,mut1004,mut1010,mut1011,mut1016,mut1046,mut1048,mut1060,mut1064,mut1066,mut1071,mut1073,mut1078,mut1081,mut1090,mut1091,mut1094,mut1098,mut1100,mut1102,mut1107,mut1115,mut1117,mut1121,mut1133,mut1140,mut1141,mut1143,mut1146,mut1152,mut1161,mut1163,mut1165,mut1170,mut1173,mut1198,mut1202,mut1212,mut1213,mut1214,mut1221,mut1223,mut1225,mut1227,mut1236,mut1238,mut1239,mut1256,mut1260,mut1261,mut1262,mut1263,mut1266,mut1268,mut1273,mut1282,mut1292,mut1316,mut1318,mut1322,mut1323,mut1325,mut1333,mut1334,mut1336,mut1340,mut1342,mut1347,mut1354,mut1365,mut1369,mut1376,mut1377,mut1378,mut1384,mut1398,mut1400,mut1403,mut1409,mut1410,mut1411,mut1424,mut1427,mut1435,mut1436,mut1442,mut1443,mut1446,mut1450,mut1451,mut1458,mut1473,mut1475,mut1476,mut1477,mut1478,mut1481,mut1498,mut1499,mut1513,mut1526,mut1537,mut1542,mut1547,mut1559,mut1563,mut1567,mut1576,mut1577,mut1585,mut1589,mut1592,mut1594,mut1603,mut1611,mut1617,mut1621,mut1626,mut1627,mut1632,mut1649,mut1651,mut1654,mut1659,mut1678,mut1679,mut1693,mut1694,mut1698,mut1705,mut1712,mut1720,mut1722,mut1723,mut1724,mut1725,mut1734,mut1741,mut1743,mut1747,mut1752,mut1753,mut1754,mut1759,mut1760,mut1768,mut1772,mut1781,mut1783,mut1784,mut1786,mut1788,mut1789,mut1790,mut1793,mut1795,mut1797,mut1800,mut1804,mut1805,mut1809,mut1810,mut1812,mut1813,mut1821,mut1822,mut1823,mut1825,mut1826,mut1831,mut1834,mut1836,mut1837,mut1838,mut1840,mut1841,mut1846,mut1848,mut1856,mut1861,mut1864,mut1867,mut1868,mut1869,mut1870,mut1874,mut1881,mut1883,mut1905,mut1907,mut1918,mut1919,mut1932,mut1934,mut1938,mut1945,mut1946,mut1949,mut1956,mut1968,mut1983,mut1984,mut1994,mut1997,mut2002,mut2005,mut2009,mut2011,mut2021,mut2025,mut2027,mut2029,mut2054,mut2056,mut2060,mut2076,mut2086,mut2095,mut2099,mut2100,mut2106,mut2109,mut2119,mut2121,mut2130,mut2133,mut2141,mut2143,mut2148,mut2151
4	ROOT	mut3,mut64,mut66,mut74,mut80,mut82,mut84,mut106,mut145,mut154,mut156,mut157,mut167,mut175,mut177,mut187,mut194,mut217,mut229,mut230,mut279,mut307,mut323,mut325,mut327,mut335,mut336,mut339,mut344,mut360,mut371,mut392,mut415,mut442,mut443,mut449,mut465,mut479,mut488,mut502,mut519,mut546,mut552,mut617,mut645,mut646,mut686,mut695,mut705,mut721,mut757,mut818,mut824,mut840,mut847,mut856,mut878,mut881,mut921,mut933,mut958,mut979,mut1000,mut1018,mut1023,mut1026,mut1051,mut1079,mut1097,mut1111,mut1120,mut1162,mut1172,mut1174,mut1178,mut1179,mut1186,mut1197,mut1207,mut1217,mut1219,mut1226,mut1248,mut1264,mut1271,mut1272,mut1303,mut1307,mut1314,mut1345,mut1353,mut1362,mut1366,mut1375,mut1387,mut1391,mut1417,mut1423,mut1432,mut1448,mut1455,mut1457,mut1459,mut1462,mut1463,mut1484,mut1494,mut1496,mut1531,mut1539,mut1555,mut1558,mut1566,mut1573,mut1579,mut1623,mut1631,mut1641,mut1648,mut1655,mut1683,mut1685,mut1688,mut1699,mut1701,mut1706,mut1709,mut1746,mut1748,mut1761,mut1764,mut1785,mut1798,mut1799,mut1801,mut1807,mut1808,mut1830,mut1876,mut1889,mut1897,mut1914,mut1920,mut1925,mut1933,mut1954,mut1963,mut1966,mut1974,mut1978,mut1989,mut1995,mut1998,mut2004,mut2010,mut2024,mut2038,mut2069,mut2080,mut2083,mut2087,mut2091,mut2096,mut2101,mut2115,mut2129,mut2146
15	4	mut52,mut160,mut425,mut434,mut486,mut487,mut670,mut684,mut783,mut858,mut993,mut1112,mut1138,mut1188,mut1360,mut1372,mut1405,mut1464,mut1479,mut1482,mut1551,mut1591,mut1663,mut1692,mut1711,mut1773,mut1815,mut1816,mut1852,mut1853,mut1929,mut1959,mut1987,mut2034,mut2051,mut2059,mut2061
7	15	mut26,mut40,mut58,mut87,mut92,mut103,mut104,mut124,mut132,mut146,mut150,mut151,mut182,mut227,mut240,mut262,mut265,mut269,mut309,mut312,mut320,mut333,mut346,mut348,mut351,mut473,mut491,mut492,mut494,mut499,mut515,mut524,mut538,mut539,mut553,mut566,mut580,mut584,mut599,mut603,mut637,mut665,mut671,mut696,mut707,mut756,mut760,mut761,mut777,mut794,mut798,mut799,mut801,mut814,mut834,mut851,mut911,mut964,mut965,mut967,mut989,mut1003,mut1008,mut1054,mut1055,mut1089,mut1109,mut1110,mut1145,mut1195,mut1211,mut1229,mut1290,mut1301,mut1324,mut1356,mut1357,mut1358,mut1404,mut1406,mut1407,mut1408,mut1430,mut1445,mut1460,mut1546,mut1582,mut1597,mut1684,mut1686,mut1721,mut1735,mut1737,mut1767,mut1832,mut1858,mut1878,mut1910,mut1913,mut1916,mut1962,mut1970,mut1973,mut1975,mut1981,mut2037,mut2041,mut2045,mut2055,mut2058,mut2063,mut2074,mut2075,mut2077,mut2094,mut2139
20	7	mut305,mut306,mut430,mut512,mut597,mut702,mut771,mut825,mut864,mut1105,mut1389,mut1434,mut1527,mut1557,mut1921,mut2052
19	2	mut0,mut120,mut745,mut746,mut870,mut926,mut982,mut997,mut1025,mut1235,mut1253,mut1497,mut1652,mut1719,mut1769,mut1917,mut2044
