node_id	parent_id	mutations
ROOT	None	
2	ROOT	mut2,mut5,mut6,mut7,mut11,mut15,mut17,mut22,mut46,mut63,mut67,mut88,mut98,mut105,mut113,mut123,mut137,mut143,mut146,mut147,mut154,mut157,mut161,mut162,mut163,mut164,mut165,mut168,mut169,mut176,mut177,mut183,mut197,mut203,mut205,mut210,mut211,mut214,mut234,mut235,mut247,mut271,mut277,mut284,mut289,mut302,mut304,mut312,mut316,mut318,mut321,mut325,mut327,mut329,mut330,mut336,mut340,mut342,mut347,mut349,mut353,mut356,mut369,mut370,mut376,mut382,mut384,mut385,mut388,mut395,mut404
8	2	mut9,mut37,mut44,mut51,mut54,mut68,mut72,mut81,mut89,mut171,mut180,mut192,mut230,mut255,mut262,mut287,mut294,mut303,mut361,mut364
16	2	mut56,mut75,mut100,mut125,mut288
9	16	mut34,mut61,mut66,mut79,mut114,mut120,mut159,mut187,mut195,mut202,mut223,mut251,mut269,mut299,mut328,mut352,mut390,mut391
5	9	mut19,mut21,mut25,mut27,mut38,mut58,mut60,mut70,mut82,mut95,mut118,mut124,mut133,mut194,mut219,mut239,mut240,mut248,mut254,mut259,mut276,mut292,mut341,mut343,mut348,mut365,mut368,mut373,mut374,mut375
6	16	mut0,mut33,mut76,mut77,mut87,mut92,mut99,mut102,mut115,mut127,mut156,mut191,mut206,mut232,mut241,mut246,mut253,mut265,mut273,mut280,mut307,mut308,mut338,mut366,mut387,mut389,mut398
17	5	mut23,mut141,mut144,mut190,mut275
15	17	mut24,mut53,mut57,mut86,mut121,mut142,mut268
13	15	mut62,mut112,mut132,mut134,mut140,mut150,mut172,mut184,mut186,mut198,mut217,mut372
12	17	mut40,mut96,mut104,mut130,mut148,mut174,mut215,mut225,mut295,mut297,mut300,mut310,mut335,mut403
1	16	mut1,mut4,mut8,mut26,mut29,mut31,mut32,mut42,mut43,mut52,mut65,mut78,mut80,mut84,mut85,mut91,mut93,mut108,mut109,mut111,mut122,mut126,mut128,mut131,mut136,mut145,mut149,mut166,mut175,mut178,mut179,mut181,mut182,mut185,mut199,mut204,mut209,mut216,mut218,mut220,mut224,mut228,mut229,mut237,mut249,mut250,mut252,mut257,mut266,mut267,mut270,mut278,mut285,mut290,mut293,mut298,mut309,mut311,mut319,mut345,mut350,mut351,mut359,mut371,mut379,mut393,mut397,mut400
3	8	mut3,mut13,mut16,mut28,mut39,mut49,mut73,mut94,mut97,mut106,mut107,mut151,mut158,mut160,mut167,mut170,mut188,mut189,mut196,mut207,mut208,mut212,mut221,mut226,mut231,mut244,mut256,mut260,mut272,mut282,mut283,mut301,mut313,mut317,mut322,mut326,mut334,mut337,mut344,mut346,mut363,mut367,mut377,mut392,mut394,mut399,mut401
4	6	mut12,mut14,mut20,mut36,mut41,mut47,mut48,mut64,mut69,mut71,mut74,mut83,mut90,mut101,mut129,mut135,mut152,mut153,mut200,mut213,mut222,mut227,mut238,mut242,mut243,mut245,mut261,mut263,mut291,mut314,mut320,mut324,mut333,mut360,mut362,mut378,mut386,mut402
10	12	mut10,mut50,mut55,mut116,mut138,mut139,mut173,mut201,mut236,mut258,mut296,mut306,mut339,mut355,mut380,mut381,mut396
11	13	mut18,mut59,mut117,mut193,mut233,mut264,mut281,mut286,mut315,mut323,mut331,mut332,mut354,mut357,mut358
14	2	mut30,mut35,mut45,mut103,mut110,mut119,mut155,mut274,mut279,mut305,mut383
