node_id	parent_id	mutations
ROOT	ROOT	
1	ROOT	mut4,mut5,mut8,mut11,mut17,mut19,mut20,mut21,mut24,mut26,mut29,mut31,mut34,mut37,mut38,mut39,mut41,mut42,mut43,mut44,mut45,mut48,mut52,mut54,mut55,mut56,mut57,mut59,mut63,mut65,mut66,mut67,mut69,mut70,mut71,mut75,mut76,mut82,mut86,mut88,mut89,mut90,mut92,mut93,mut96,mut97,mut99,mut100,mut101,mut102,mut104,mut106,mut108,mut110,mut111,mut112,mut113,mut114,mut117,mut118,mut122,mut123,mut126,mut128,mut130,mut131,mut133,mut136,mut137,mut139,mut140,mut141,mut144,mut145,mut146,mut147,mut148,mut151,mut152,mut153,mut154,mut155,mut156,mut159,mut162,mut164,mut165,mut166,mut168,mut169,mut171,mut172,mut173,mut174,mut177,mut183,mut184,mut185,mut189,mut191,mut192,mut193,mut194,mut195,mut196,mut197,mut198,mut199,mut201,mut202,mut203,mut206,mut210,mut212,mut213,mut214,mut215,mut216,mut219,mut220,mut221,mut222,mut223,mut224,mut225,mut226,mut227,mut228,mut231,mut233,mut234,mut235,mut236,mut237,mut239,mut240,mut241,mut243,mut245,mut246,mut247,mut248,mut250,mut251,mut252,mut253,mut254,mut255,mut257,mut259,mut260,mut261,mut263,mut264,mut266,mut268,mut271,mut272,mut273,mut274,mut275,mut280,mut284,mut287,mut290,mut300,mut305,mut306,mut308,mut309,mut311,mut312,mut313,mut314,mut316,mut317,mut318,mut320,mut321,mut322,mut323,mut327,mut328,mut330,mut333,mut334,mut336,mut337,mut341,mut342,mut344,mut345,mut346,mut347,mut348,mut349,mut350,mut351,mut354,mut355,mut361,mut362,mut367,mut373,mut374,mut376,mut379,mut380,mut383,mut386,mut388,mut393,mut394,mut395,mut396,mut401,mut403,mut405,mut407,mut409,mut410,mut415,mut417,mut421,mut422,mut433,mut438,mut439,mut441,mut443,mut444,mut445,mut446,mut448,mut449,mut451,mut452,mut454,mut455,mut456,mut458,mut459,mut460,mut462,mut463,mut467,mut470,mut471,mut474,mut475,mut476,mut477,mut480,mut483,mut484,mut485,mut486,mut490,mut492,mut494,mut495,mut497,mut498,mut499,mut500,mut503,mut504,mut512,mut516,mut517,mut519,mut523,mut524,mut525,mut527,mut528,mut535,mut539,mut541,mut542,mut543,mut544,mut545,mut546,mut547,mut548,mut550,mut552,mut554,mut555,mut556,mut557,mut559,mut562,mut566,mut567,mut568,mut569,mut570,mut571,mut572,mut575,mut578,mut579,mut580,mut582,mut585,mut589,mut590,mut591,mut594,mut595,mut596,mut597,mut598,mut602,mut603,mut606,mut607,mut611,mut617,mut620,mut621,mut622,mut625,mut627,mut628,mut631,mut632,mut633,mut637,mut639,mut642,mut645,mut646,mut647,mut648,mut649,mut650,mut651,mut652,mut653,mut654,mut655,mut656,mut658,mut659,mut660,mut661,mut662,mut667,mut668,mut670,mut672,mut674,mut675,mut679,mut680,mut682,mut683,mut687,mut689,mut690,mut691,mut692,mut696,mut698,mut699,mut701,mut702,mut705,mut706,mut709,mut711,mut713,mut714,mut715,mut716,mut720,mut723,mut724,mut730,mut732,mut739,mut742,mut744,mut747,mut750,mut752,mut753,mut754,mut756,mut757,mut758,mut759,mut760,mut762,mut765,mut766,mut769,mut770,mut772,mut775,mut776,mut779,mut780,mut781,mut783,mut785,mut786,mut789,mut790,mut791,mut793,mut794,mut796,mut797,mut799,mut800,mut802,mut803,mut804,mut806,mut807,mut808,mut809,mut812,mut813,mut815,mut819,mut825,mut827,mut828,mut829,mut830,mut831,mut832,mut833,mut834,mut852,mut853,mut855,mut856,mut859,mut860,mut863,mut865,mut874,mut876,mut885,mut891,mut893,mut894,mut903,mut904,mut907,mut909,mut910,mut911,mut919,mut925,mut928,mut935,mut937,mut946,mut947,mut950,mut951,mut953,mut955,mut958,mut962,mut963,mut965,mut966,mut968,mut971,mut975,mut976,mut977,mut978,mut979,mut981,mut982,mut983,mut984,mut985,mut991,mut993,mut995,mut996,mut997,mut998,mut1003,mut1004,mut1005,mut1007,mut1008,mut1009,mut1010,mut1011,mut1013,mut1015,mut1017,mut1021,mut1024,mut1025,mut1034,mut1036,mut1037,mut1038,mut1039,mut1040,mut1042,mut1045,mut1046,mut1049,mut1050,mut1051,mut1059,mut1061,mut1066,mut1068,mut1071,mut1076,mut1078,mut1083,mut1088,mut1092,mut1096,mut1097,mut1098,mut1100,mut1101,mut1102,mut1108,mut1112,mut1114,mut1115,mut1119,mut1120,mut1121,mut1124,mut1125,mut1126,mut1127,mut1130,mut1131,mut1136,mut1137,mut1140,mut1141,mut1142,mut1145,mut1146,mut1147,mut1148,mut1152,mut1153,mut1156,mut1158,mut1159,mut1162,mut1164,mut1168,mut1172,mut1179,mut1180,mut1183,mut1185,mut1187,mut1190,mut1191,mut1192,mut1193,mut1194,mut1195,mut1196,mut1199,mut1201,mut1202,mut1206,mut1210,mut1211,mut1212,mut1213,mut1214,mut1215,mut1218,mut1220,mut1221,mut1222,mut1223,mut1225,mut1228,mut1229,mut1230,mut1233,mut1234,mut1236,mut1237,mut1238,mut1240,mut1241,mut1244,mut1246,mut1247,mut1248,mut1251,mut1252,mut1256,mut1259,mut1261,mut1265,mut1266,mut1267,mut1268,mut1270,mut1271,mut1272,mut1279,mut1280,mut1284,mut1286,mut1287,mut1288,mut1289,mut1290,mut1293,mut1294,mut1295,mut1297,mut1298,mut1299,mut1300,mut1301,mut1303,mut1304,mut1305,mut1306,mut1309,mut1310,mut1312,mut1313,mut1314,mut1315,mut1316,mut1317,mut1322,mut1325,mut1327,mut1344,mut1346,mut1348,mut1353,mut1357,mut1359,mut1360,mut1361
6	1	mut30,mut35,mut62,mut129,mut134,mut142,mut143,mut181,mut182,mut207,mut289,mut363,mut378,mut387,mut397,mut406,mut428,mut436,mut453,mut509,mut510,mut514,mut601,mut618,mut703,mut718,mut788,mut795,mut798,mut823,mut847,mut923,mut931,mut932,mut933,mut934,mut1027,mut1028,mut1033,mut1128,mut1150,mut1169,mut1181,mut1198,mut1219,mut1292,mut1323,mut1328,mut1329,mut1335,mut1336,mut1342,mut1350
2	6	mut2,mut6,mut7,mut12,mut13,mut27,mut33,mut36,mut40,mut46,mut53,mut60,mut64,mut73,mut77,mut78,mut80,mut81,mut84,mut85,mut103,mut107,mut120,mut124,mut125,mut157,mut170,mut178,mut186,mut190,mut204,mut211,mut230,mut244,mut256,mut269,mut270,mut278,mut282,mut288,mut291,mut293,mut294,mut295,mut302,mut332,mut335,mut338,mut339,mut359,mut360,mut364,mut369,mut370,mut372,mut381,mut385,mut391,mut398,mut399,mut402,mut408,mut414,mut424,mut425,mut427,mut431,mut435,mut437,mut450,mut465,mut466,mut507,mut508,mut518,mut526,mut530,mut532,mut538,mut553,mut560,mut561,mut565,mut586,mut610,mut612,mut619,mut630,mut634,mut636,mut640,mut644,mut684,mut722,mut726,mut731,mut733,mut737,mut749,mut764,mut810,mut814,mut818,mut820,mut822,mut824,mut835,mut836,mut840,mut850,mut858,mut862,mut868,mut873,mut890,mut892,mut902,mut912,mut913,mut924,mut927,mut938,mut939,mut956,mut961,mut967,mut989,mut994,mut1006,mut1014,mut1019,mut1020,mut1029,mut1031,mut1035,mut1044,mut1053,mut1060,mut1070,mut1073,mut1074,mut1077,mut1080,mut1082,mut1095,mut1110,mut1111,mut1113,mut1132,mut1163,mut1165,mut1170,mut1171,mut1174,mut1175,mut1203,mut1207,mut1242,mut1245,mut1254,mut1262,mut1269,mut1274,mut1275,mut1276,mut1281,mut1283,mut1285,mut1319,mut1320,mut1321,mut1330,mut1341,mut1345,mut1347,mut1355
7	ROOT	mut16,mut28,mut51,mut72,mut91,mut150,mut310,mut420,mut502,mut666,mut700,mut704,mut725,mut743,mut811,mut838,mut851,mut878,mut879,mut1056,mut1134,mut1144,mut1160,mut1178,mut1231,mut1232,mut1253,mut1258,mut1282,mut1331,mut1337,mut1365
9	ROOT	mut3,mut205,mut209,mut390,mut469,mut522,mut734,mut738,mut821,mut854,mut1043,mut1047,mut1064,mut1122,mut1189,mut1235,mut1334,mut1340,mut1362
13	ROOT	mut105,mut307,mut329,mut515,mut536,mut551,mut664,mut669,mut694,mut751,mut897,mut901,mut986,mut1023,mut1143
15	1	mut343,mut416,mut434,mut487,mut549,mut848,mut882,mut896,mut920,mut936,mut945,mut949,mut1067
19	1	mut9,mut292,mut432,mut573,mut629,mut866,mut969,mut1079,mut1209,mut1257
22	2	mut87,mut158,mut180,mut392,mut520,mut599,mut1099,mut1123,mut1308
