node_id	parent_id	labels
1	ROOT	mut3,mut6,mut35,mut45,mut55,mut57,mut58,mut59,mut60,mut65,mut70,mut75,mut76,mut85,mut92,mut97,mut98,mut101,mut110,mut114,mut116,mut118,mut120,mut122,mut133,mut135,mut137,mut142,mut144,mut145,mut150,mut152,mut158,mut161,mut165,mut167,mut171,mut175,mut176,mut177,mut198,mut202,mut207,mut209,mut214,mut217,mut221,mut225,mut232,mut235,mut241,mut245,mut249,mut250,mut259,mut261,mut264,mut266,mut268,mut272,mut273,mut276,mut277,mut282,mut287,mut296,mut300,mut312,mut315,mut321,mut325,mut328,mut330,mut334,mut339,mut349,mut358,mut359,mut360,mut362,mut364,mut369,mut374,mut378,mut379,mut385,mut389,mut391,mut419,mut421,mut422,mut427,mut429,mut441,mut446,mut450,mut455,mut457,mut465,mut479,mut481,mut485,mut497,mut508,mut511,mut518,mut519,mut522,mut533,mut540,mut546,mut550,mut551,mut555,mut559,mut560,mut562
30	1	mut5,mut9,mut230,mut398,mut530
10	30	mut4,mut51,mut87,mut94,mut119,mut121,mut178,mut215,mut239,mut279,mut283,mut376,mut414,mut440,mut536,mut537,mut565,mut566
18	10	mut33,mut194,mut311,mut443,mut451,mut473,mut492,mut512,mut543
19	18	mut103,mut104,mut126,mut218,mut290,mut319,mut361,mut411,mut534
6	18	mut7,mut38,mut66,mut74,mut99,mut102,mut148,mut201,mut204,mut208,mut210,mut226,mut233,mut252,mut256,mut258,mut278,mut307,mut407,mut468,mut470,mut486,mut490,mut499,mut507,mut523,mut552,mut558
5	30	mut10,mut16,mut22,mut29,mut37,mut41,mut64,mut80,mut82,mut83,mut84,mut123,mut153,mut157,mut191,mut248,mut293,mut345,mut367,mut375,mut395,mut401,mut418,mut447,mut494,mut495,mut504,mut553,mut574,mut575
31	19	mut18,mut212,mut396,mut488,mut572
32	1	mut147,mut295,mut393,mut506,mut516
3	32	mut0,mut13,mut44,mut49,mut53,mut79,mut95,mut125,mut128,mut143,mut169,mut179,mut189,mut244,mut253,mut267,mut280,mut284,mut297,mut313,mut316,mut322,mut351,mut370,mut371,mut405,mut410,mut420,mut436,mut445,mut448,mut449,mut463,mut489,mut491,mut524,mut544,mut549,mut554,mut561,mut567
9	31	mut8,mut24,mut42,mut43,mut67,mut199,mut203,mut222,mut234,mut240,mut303,mut320,mut331,mut355,mut386,mut387,mut467,mut541,mut570
16	31	mut26,mut48,mut106,mut130,mut229,mut342,mut347,mut438,mut464,mut471,mut531
